Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
New York Knicks*,82,19780,3478,7483,.465,,,,3478,7483,.465,1350,1738,.777,959,2725,3684,1937,554,277,1463,1884,8306
Philadelphia 76ers,82,19730,3331,7702,.432,,,,3331,7702,.432,1633,2118,.771,1182,2626,3808,1799,756,220,1665,1964,8295
Cleveland Cavaliers,82,19755,3420,7782,.439,,,,3420,7782,.439,1381,1788,.772,1275,2492,3767,2048,598,293,1545,1925,8221
League Average,82,19759,3533,7697,.459,,,,3533,7697,.459,1606,2082,.771,1208,2747,3955,2020,713,386,1706,1953,8671
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors*,82,19780,3714,7981,.465,,,,3714,7981,.465,1470,1915,.768,1416,2854,4270,2076,972,365,1716,2109,8898
Buffalo Braves*,82,19730,3552,7469,.476,,,,3552,7469,.476,1735,2224,.780,1108,2735,3843,2063,718,456,1710,1879,8839
Boston Celtics*,82,19755,3587,7825,.458,,,,3587,7825,.458,1560,1971,.791,1315,2949,4264,2159,662,288,1625,1913,8734
Atlanta Hawks,82,19805,3424,7824,.438,,,,3424,7824,.438,1772,2435,.728,1441,2653,4094,1878,744,227,1550,1964,8620
Washington Bullets*,82,19805,3555,7697,.462,,,,3555,7697,.462,1475,1962,.752,1133,2764,3897,2005,929,409,1594,1961,8585
Houston Rockets*,82,19780,3448,7231,.477,,,,3448,7231,.477,1625,2034,.799,1177,2495,3672,2155,746,351,1759,2068,8521
Portland Trail Blazers,82,19880,3414,7113,.480,,,,3414,7113,.480,1680,2265,.742,1049,2758,3807,2209,755,399,1833,2055,8508
Los Angeles Lakers,82,19855,3409,7577,.450,,,,3409,7577,.450,1641,2182,.752,1312,2763,4075,2091,755,423,1785,2079,8459
Seattle SuperSonics*,82,19880,3488,7653,.456,,,,3488,7653,.456,1475,1970,.749,1142,2579,3721,1997,837,378,1610,1977,8451
New Orleans Jazz,82,19730,3301,7509,.440,,,,3301,7509,.440,1717,2247,.764,1144,2616,3760,1818,725,256,1802,2222,8319
Kansas City-Omaha Kings*,82,19730,3257,7258,.449,,,,3257,7258,.449,1797,2190,.821,991,2745,3736,1853,724,347,1542,1968,8311
Phoenix Suns,82,19805,3381,7561,.447,,,,3381,7561,.447,1535,2082,.737,1349,2684,4033,1879,664,317,1760,2090,8297
Milwaukee Bucks,82,19805,3450,7367,.468,,,,3450,7367,.468,1354,1746,.775,1021,2766,3787,1932,596,400,1540,1949,8254
New York Knicks*,82,19730,3359,7464,.450,,,,3359,7464,.450,1518,1967,.772,981,2652,3633,1675,652,300,1374,2001,8236
Philadelphia 76ers,82,19805,3325,7476,.445,,,,3325,7476,.445,1530,2043,.749,1200,2706,3906,1709,576,263,1591,1974,8180
Cleveland Cavaliers,82,19880,3408,7371,.462,,,,3408,7371,.462,1301,1753,.742,1058,2502,3560,1903,600,348,1462,1881,8117
Detroit Pistons*,82,19705,3289,7053,.466,,,,3289,7053,.466,1533,1975,.776,1002,2515,3517,1916,679,380,1557,1866,8111
Chicago Bulls*,82,19880,3167,7085,.447,,,,3167,7085,.447,1711,2203,.777,1107,2786,3893,1840,668,379,1482,1952,8045
League Average,82,19797,3418,7473,.457,,,,3418,7473,.457,1579,2065,.765,1164,2696,3859,1953,722,349,1627,1995,8416
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors*,82,19830,3691,7982,.462,,,,3691,7982,.462,1620,2158,.751,1349,2912,4261,2041,928,416,1613,2022,9002
Buffalo Braves*,82,19705,3481,7307,.476,,,,3481,7307,.476,1833,2368,.774,1002,2719,3721,2112,720,366,1743,2017,8795
Los Angeles Lakers,82,19705,3547,7622,.465,,,,3547,7622,.465,1670,2164,.772,1132,2870,4002,1939,674,528,1612,2025,8764
Philadelphia 76ers*,82,19855,3462,7752,.447,,,,3462,7752,.447,1811,2469,.733,1385,2684,4069,1658,809,367,1729,2187,8735
Seattle SuperSonics*,82,19780,3542,7730,.458,,,,3542,7730,.458,1642,2309,.711,1217,2498,3715,1935,866,355,1615,2133,8726
Boston Celtics*,82,19755,3527,7901,.446,,,,3527,7901,.446,1654,2120,.780,1369,2972,4341,1980,561,260,1609,2002,8708
Houston Rockets,82,19755,3546,7304,.485,,,,3546,7304,.485,1616,2046,.790,1059,2644,3703,2213,656,359,1665,2045,8708
Phoenix Suns*,82,19880,3420,7251,.472,,,,3420,7251,.472,1780,2337,.762,1108,2558,3666,2083,853,349,1852,2018,8620
Detroit Pistons*,82,19780,3524,7598,.464,,,,3524,7598,.464,1557,2049,.760,1205,2545,3750,1751,786,332,1619,2086,8605
New Orleans Jazz,82,19880,3352,7491,.447,,,,3352,7491,.447,1831,2415,.758,1189,2779,3968,1765,750,343,1659,2175,8535
Portland Trail Blazers,82,19730,3417,7292,.469,,,,3417,7292,.469,1699,2350,.723,1116,2843,3959,2094,776,408,1867,2091,8533
Kansas City Kings,82,19755,3341,7379,.453,,,,3341,7379,.453,1792,2335,.767,1133,2668,3801,1864,751,324,1607,2056,8474
Washington Bullets*,82,19905,3416,7234,.472,,,,3416,7234,.472,1595,2215,.720,1019,2812,3831,1823,696,485,1672,1921,8427
New York Knicks,82,19805,3443,7555,.456,,,,3443,7555,.456,1532,1985,.772,1022,2723,3745,1660,575,259,1403,2006,8418
Atlanta Hawks,82,19805,3301,7338,.450,,,,3301,7338,.450,1809,2467,.733,1225,2540,3765,1666,790,277,1553,1983,8411
Milwaukee Bucks*,82,19830,3456,7435,.465,,,,3456,7435,.465,1437,1952,.736,1094,2688,3782,1817,715,468,1624,2041,8349
Cleveland Cavaliers*,82,19805,3497,7709,.454,,,,3497,7709,.454,1346,1827,.737,1192,2588,3780,1844,638,397,1330,1871,8340
Chicago Bulls,82,19780,3106,7499,.414,,,,3106,7499,.414,1651,2197,.751,1375,2726,4101,1704,627,255,1413,1977,7863
League Average,82,19797,3448,7521,.458,,,,3448,7521,.458,1660,2209,.751,1177,2709,3887,1886,732,364,1621,2036,8556
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
San Antonio Spurs*,82,19755,3711,7657,.485,,,,3711,7657,.485,2010,2522,.797,1110,2550,3660,2115,857,499,1770,1966,9432
Denver Nuggets*,82,19780,3590,7471,.481,,,,3590,7471,.481,2053,2783,.738,1288,2700,3988,2262,953,471,2011,2142,9233
Portland Trail Blazers*,82,19730,3623,7537,.481,,,,3623,7537,.481,1917,2515,.762,1260,2703,3963,1990,868,492,1757,2220,9163
Golden State Warriors*,82,19780,3724,7832,.475,,,,3724,7832,.475,1649,2172,.759,1300,2639,3939,2120,904,432,1624,2058,9097
Philadelphia 76ers*,82,19780,3511,7322,.480,,,,3511,7322,.480,2012,2732,.736,1293,2752,4045,1966,814,561,1915,2074,9034
Detroit Pistons*,82,19730,3764,7792,.483,,,,3764,7792,.483,1442,1960,.736,1169,2495,3664,2004,877,459,1718,2200,8970
New York Knicks,82,19755,3659,7530,.486,,,,3659,7530,.486,1587,2078,.764,974,2680,3654,1956,714,304,1680,2007,8905
Milwaukee Bucks,82,19705,3668,7840,.468,,,,3668,7840,.468,1553,2072,.750,1220,2519,3739,1970,790,342,1648,2094,8889
Kansas City Kings,82,19830,3561,7733,.460,,,,3561,7733,.460,1706,2140,.797,1222,2593,3815,1982,849,386,1576,2173,8828
Los Angeles Lakers*,82,19805,3663,7657,.478,,,,3663,7657,.478,1437,1941,.740,1177,2628,3805,2057,801,445,1538,1867,8763
Indiana Pacers,82,19755,3522,7840,.449,,,,3522,7840,.449,1714,2297,.746,1409,2584,3993,2009,924,458,1609,2030,8758
Houston Rockets*,82,19780,3535,7325,.483,,,,3535,7325,.483,1656,2103,.787,1254,2632,3886,1913,616,411,1600,2132,8726
Washington Bullets*,82,19730,3514,7479,.470,,,,3514,7479,.470,1622,2264,.716,1185,2758,3943,1935,642,433,1677,1940,8650
Buffalo Braves,82,19730,3366,7475,.450,,,,3366,7475,.450,1880,2492,.754,1213,2623,3836,1883,683,392,1699,1842,8612
Phoenix Suns,82,19730,3406,7249,.470,,,,3406,7249,.470,1791,2345,.764,1059,2493,3552,2100,750,346,1830,2089,8603
New Orleans Jazz,82,19780,3443,7602,.453,,,,3443,7602,.453,1688,2183,.773,1249,2828,4077,1854,613,357,1706,2099,8574
Boston Celtics*,82,19830,3462,7775,.445,,,,3462,7775,.445,1648,2181,.756,1241,2966,4207,2010,506,263,1673,2039,8572
Seattle SuperSonics,82,19805,3439,7639,.450,,,,3439,7639,.450,1646,2386,.690,1355,2433,3788,1772,932,503,1759,2198,8524
Atlanta Hawks,82,19705,3279,7176,.457,,,,3279,7176,.457,1836,2451,.749,1244,2512,3756,1882,733,330,1779,2302,8394
Cleveland Cavaliers*,82,19780,3451,7688,.449,,,,3451,7688,.449,1468,1993,.737,1312,2563,3875,1845,579,472,1356,1951,8370
Chicago Bulls*,82,19805,3249,7186,.452,,,,3249,7186,.452,1613,2159,.747,1292,2705,3997,1989,699,364,1552,1871,8111
New York Nets,82,19730,3096,7222,.429,,,,3096,7222,.429,1673,2274,.736,1157,2547,3704,1422,802,435,1630,2178,7865
League Average,82,19764,3511,7547,.465,,,,3511,7547,.465,1709,2275,.751,1227,2632,3858,1956,768,416,1687,2067,8731
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Philadelphia 76ers*,82,19830,3628,7471,.486,,,,3628,7471,.486,2153,2863,.752,1299,2694,3993,2220,800,548,1752,2188,9409
San Antonio Spurs*,82,19780,3794,7594,.500,,,,3794,7594,.500,1797,2234,.804,1030,2594,3624,2240,797,553,1665,1871,9385
New York Knicks*,82,20005,3815,7822,.488,,,,3815,7822,.488,1670,2225,.751,1180,2689,3869,2338,818,442,1764,2193,9300
Milwaukee Bucks*,82,19980,3801,7883,.482,,,,3801,7883,.482,1612,2220,.726,1239,2480,3719,2306,867,472,1680,2038,9214
Phoenix Suns*,82,19780,3731,7836,.476,,,,3731,7836,.476,1749,2329,.751,1166,2579,3745,2338,1059,372,1766,1956,9211
Denver Nuggets*,82,19830,3548,7441,.477,,,,3548,7441,.477,2068,2705,.765,1177,2736,3913,2187,824,422,1748,2116,9164
Washington Bullets*,82,19830,3580,7772,.461,,,,3580,7772,.461,1887,2655,.711,1349,2815,4164,1948,668,386,1613,1879,9047
Los Angeles Lakers*,82,19805,3734,7672,.487,,,,3734,7672,.487,1576,2095,.752,1136,2647,3783,2229,802,409,1548,1964,9044
Kansas City Kings,82,19830,3601,7731,.466,,,,3601,7731,.466,1775,2262,.785,1208,2632,3840,1992,794,370,1690,2228,8977
Detroit Pistons,82,19855,3552,7424,.478,,,,3552,7424,.478,1832,2490,.736,1229,2601,3830,1840,866,330,1858,1980,8936
Indiana Pacers,82,19830,3500,7783,.450,,,,3500,7783,.450,1904,2564,.743,1386,2624,4010,1982,808,456,1642,2230,8904
Portland Trail Blazers*,82,19730,3556,7367,.483,,,,3556,7367,.483,1717,2259,.760,1187,2686,3873,2067,798,390,1625,2068,8829
New Orleans Jazz,82,19780,3568,7717,.462,,,,3568,7717,.462,1690,2331,.725,1309,2907,4216,2079,662,514,1694,1938,8826
New Jersey Nets,82,19905,3547,8004,.443,,,,3547,8004,.443,1652,2304,.717,1306,2595,3901,1879,857,631,1774,2312,8746
Golden State Warriors,82,19780,3574,7654,.467,,,,3574,7654,.467,1550,2081,.745,1183,2629,3812,2097,873,405,1518,2113,8698
Boston Celtics,82,19830,3494,7635,.458,,,,3494,7635,.458,1682,2159,.779,1235,2850,4085,1969,643,295,1652,2033,8670
Buffalo Braves,82,19805,3413,7323,.466,,,,3413,7323,.466,1808,2314,.781,1083,2538,3621,1975,650,327,1575,2017,8634
Seattle SuperSonics*,82,19780,3445,7715,.447,,,,3445,7715,.447,1675,2352,.712,1456,2601,4057,1799,782,429,1636,2008,8565
Cleveland Cavaliers*,82,19880,3496,7707,.454,,,,3496,7707,.454,1569,2116,.741,1187,2676,3863,1740,692,455,1382,1832,8561
Chicago Bulls,82,19755,3330,7041,.473,,,,3330,7041,.473,1863,2471,.754,1248,2577,3825,2119,665,322,1667,1930,8523
Houston Rockets,82,19730,3523,7691,.458,,,,3523,7691,.458,1467,1896,.774,1301,2421,3722,1942,683,319,1376,2025,8513
Atlanta Hawks*,82,19830,3335,7253,.460,,,,3335,7253,.460,1836,2316,.793,1160,2359,3519,1901,916,408,1592,2470,8506
League Average,82,19825,3571,7615,.469,,,,3571,7615,.469,1751,2329,.752,1230,2633,3863,2054,787,421,1646,2063,8894
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
San Antonio Spurs*,82,19830,3927,7760,.506,,,,3927,7760,.506,1926,2423,.795,1096,2619,3715,2313,829,509,1652,2071,9780
Phoenix Suns*,82,19780,3847,7516,.512,,,,3847,7516,.512,1765,2299,.768,1083,2379,3462,2500,915,337,1760,1944,9459
Washington Bullets*,82,19780,3819,7873,.485,,,,3819,7873,.485,1785,2428,.735,1309,2768,4077,2169,614,401,1420,1804,9423
Milwaukee Bucks,82,19880,3906,7773,.503,,,,3906,7773,.503,1541,2021,.762,1157,2370,3527,2562,862,435,1574,2106,9353
Houston Rockets*,82,19780,3726,7498,.497,,,,3726,7498,.497,1845,2330,.792,1256,2504,3760,2302,632,286,1510,2001,9297
San Diego Clippers,82,19730,3721,7706,.483,,,,3721,7706,.483,1836,2471,.743,1392,2413,3805,1539,703,392,1623,2127,9278
Kansas City Kings*,82,19855,3764,7644,.492,,,,3764,7644,.492,1746,2392,.730,1191,2404,3595,2239,825,390,1631,2419,9274
Los Angeles Lakers*,82,19780,3827,7397,.517,,,,3827,7397,.517,1606,2088,.769,949,2557,3506,2338,793,500,1569,1851,9260
Denver Nuggets*,82,19705,3517,7311,.481,,,,3517,7311,.481,2046,2841,.720,1307,2596,3903,2166,673,416,1666,2106,9080
Detroit Pistons,82,19780,3708,7802,.475,,,,3708,7802,.475,1607,2242,.717,1303,2380,3683,2092,847,550,1599,2141,9023
Philadelphia 76ers*,82,19805,3584,7338,.488,,,,3584,7338,.488,1815,2411,.753,1149,2712,3861,2253,779,599,1771,2072,8983
Atlanta Hawks*,82,19855,3505,7410,.473,,,,3505,7410,.473,1940,2534,.766,1381,2341,3722,1938,801,596,1523,2424,8950
Indiana Pacers,82,19705,3575,7525,.475,,,,3575,7525,.475,1759,2317,.759,1225,2530,3755,2005,687,416,1536,2093,8909
Portland Trail Blazers*,82,19780,3541,7338,.483,,,,3541,7338,.483,1806,2362,.765,1256,2435,3691,1946,776,512,1658,2187,8888
New Orleans Jazz,82,19705,3517,7511,.468,,,,3517,7511,.468,1848,2409,.767,1234,2676,3910,2079,760,559,1764,1940,8882
Boston Celtics,82,19680,3527,7347,.480,,,,3527,7347,.480,1820,2321,.784,1119,2396,3515,1995,710,283,1713,1977,8874
New Jersey Nets*,82,19755,3464,7523,.460,,,,3464,7523,.460,1904,2613,.729,1241,2370,3611,1907,853,619,1861,2329,8832
New York Knicks,82,19780,3676,7554,.487,,,,3676,7554,.487,1478,2111,.700,1200,2430,3630,2121,699,397,1605,2154,8830
Seattle SuperSonics*,82,19755,3504,7484,.468,,,,3504,7484,.468,1732,2298,.754,1310,2591,3901,1973,690,398,1586,1914,8740
Cleveland Cavaliers,82,19680,3556,7602,.468,,,,3556,7602,.468,1620,2103,.770,1229,2256,3485,1796,688,334,1376,2027,8732
Golden State Warriors,82,19780,3627,7453,.487,,,,3627,7453,.487,1367,1872,.730,1169,2513,3682,2064,774,420,1500,2023,8621
Chicago Bulls,82,19780,3478,7108,.489,,,,3478,7108,.489,1632,2184,.747,1224,2544,3768,2169,576,324,1813,1970,8588
League Average,82,19771,3651,7522,.485,,,,3651,7522,.485,1747,2321,.752,1217,2490,3707,2112,749,440,1623,2076,9048
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
San Antonio Spurs*,82,19755,3856,7738,.498,52,206,.252,3804,7532,.505,2024,2528,.801,1153,2515,3668,2326,771,333,1589,2103,9788
